Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-4RXDJLB0N8J-52,4RXDJLB0N8J,LOG-52,8/5/2024 0:06,BPJS,65,Jumlah uang: 36576,8,8/5/2025 0:06,201381,261586467,19709,Food & Beverages,0,20,8/5/2024,Transfer BI-Fast,15
LP-O70ABYZUZV5-86,O70ABYZUZV5,LOG-86,8/5/2024 0:08,BPJS,65,Jumlah uang: 73103,9,8/5/2025 0:08,,,,Electricity,0,20,,Transfer Non BI-Fast,21
LP-XQ6HQIGI3JX-135,XQ6HQIGI3JX,LOG-135,8/5/2024 0:18,Pembayaran Virtual Account Pendidikan,65,Jumlah uang: 483589,2,8/5/2025 0:18,,,,Convinience Store,0,20,,QRIS,25
LP-5HHIFOTVV0X-127,5HHIFOTVV0X,LOG-127,8/5/2024 0:26,Transfer ke Bank BCA (Non BI-Fast),190,Jumlah uang: 196006,4,8/5/2025 0:26,,,,Entertainment,0,20,,E-Wallet,34
LP-5KPJMHMXP61-163,5KPJMHMXP61,LOG-163,8/5/2024 0:42,Pembayaran Virtual Account Internet Rumah,65,Jumlah uang: 147053,3,8/5/2025 0:42,,,,,,,,Buy & Pay,64
LP-NU9QMRMOKTC-173,NU9QMRMOKTC,LOG-173,8/5/2024 1:07,Transfer ke Bank BSI (Non BI-Fast),1,Jumlah uang: 569386,3,8/5/2025 1:07,,,,,,,,,
LP-TDXXP45N2PU-61,TDXXP45N2PU,LOG-61,8/5/2024 1:19,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 876932,4,8/5/2025 1:19,,,,,,,,,
LP-4RXDJLB0N8J-53,4RXDJLB0N8J,LOG-53,8/5/2024 1:19,Telkom,1,Jumlah uang: 330535,9,8/5/2025 1:19,,,,,,,,,
LP-V629IE46K90-71,V629IE46K90,LOG-71,8/5/2024 1:41,Transfer ke Bank BRI (Non BI-Fast),1,Jumlah uang: 544725,6,8/5/2025 1:41,,,,,,,,,
LP-QX2FG9YB3ZG-28,QX2FG9YB3ZG,LOG-28,8/5/2024 1:42,Pembayaran Virtual Account Bibit,1,Jumlah uang: 165893,2,8/5/2025 1:42,,,,,,,,,
LP-7O97RRUP79D-11,7O97RRUP79D,LOG-11,8/5/2024 1:42,Smartfren,1,Jumlah uang: 386668,5,8/5/2025 1:42,,,,,,,,,
LP-SUKK8F1TFQ1-44,SUKK8F1TFQ1,LOG-44,8/5/2024 1:43,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 305879,11,8/5/2025 1:43,,,,,,,,,
LP-XLR1G4HMN21-20,XLR1G4HMN21,LOG-20,8/5/2024 1:50,BPJS,1,Jumlah uang: 36285,6,8/5/2025 1:50,,,,,,,,,
LP-O70ABYZUZV5-85,O70ABYZUZV5,LOG-85,8/5/2024 2:02,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 12109,8,8/5/2025 2:02,,,,,,,,,
LP-FUU7IV5BU8D-6,FUU7IV5BU8D,LOG-6,8/5/2024 2:20,Top Up LinkAja,1,Jumlah uang: 168276,9,8/5/2025 2:20,,,,,,,,,
LP-5HHIFOTVV0X-129,5HHIFOTVV0X,LOG-129,8/5/2024 2:22,BFI Finance,1,Jumlah uang: 9255748,6,8/5/2025 2:22,,,,,,,,,
LP-FUU7IV5BU8D-4,FUU7IV5BU8D,LOG-4,8/5/2024 2:29,Top Up ShopeePay,1,Jumlah uang: 157748,6,8/5/2025 2:29,,,,,,,,,
LP-7O97RRUP79D-7,7O97RRUP79D,LOG-7,8/5/2024 3:00,Telkomsel,1,Jumlah uang: 163196,1,8/5/2025 3:00,,,,,,,,,
LP-5KPJMHMXP61-162,5KPJMHMXP61,LOG-162,8/5/2024 3:02,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 974068,2,8/5/2025 3:02,,,,,,,,,
LP-5HHIFOTVV0X-133,5HHIFOTVV0X,LOG-133,8/5/2024 3:04,Top Up GoPay,1,Jumlah uang: 197735,12,8/5/2025 3:04,,,,,,,,,
LP-TDXXP45N2PU-57,TDXXP45N2PU,LOG-57,8/5/2024 3:14,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 53375,1,8/5/2025 3:14,,,,,,,,,
LP-FUU7IV5BU8D-3,FUU7IV5BU8D,LOG-3,8/5/2024 3:20,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 830830,4,8/5/2025 3:20,,,,,,,,,
LP-A10BLCYC900-109,A10BLCYC900,LOG-109,8/5/2024 3:26,Top Up OVO,1,Jumlah uang: 27138,7,8/5/2025 3:26,,,,,,,,,
LP-A10BLCYC900-108,A10BLCYC900,LOG-108,8/5/2024 3:27,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 48365,5,8/5/2025 3:27,,,,,,,,,
LP-2PNKXNUSK1V-87,2PNKXNUSK1V,LOG-87,8/5/2024 3:31,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 69976,1,8/5/2025 3:31,,,,,,,,,
LP-5H1TZ6CG4UM-97,5H1TZ6CG4UM,LOG-97,8/5/2024 3:31,Pembayaran Virtual Account Bibit,1,Jumlah uang: 887210,2,8/5/2025 3:31,,,,,,,,,
LP-5H1TZ6CG4UM-96,5H1TZ6CG4UM,LOG-96,8/5/2024 3:36,Pembayaran Virtual Account PDAM,1,Jumlah uang: 359032,1,8/5/2025 3:36,,,,,,,,,
LP-5KPJMHMXP61-165,5KPJMHMXP61,LOG-165,8/5/2024 3:55,Top Up DANA,1,Jumlah uang: 191168,6,8/5/2025 3:55,,,,,,,,,
LP-V629IE46K90-76,V629IE46K90,LOG-76,8/5/2024 3:58,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 410997,12,8/5/2025 3:58,,,,,,,,,
LP-XQ6HQIGI3JX-139,XQ6HQIGI3JX,LOG-139,8/5/2024 4:03,Telkom,1,Jumlah uang: 479699,6,8/5/2025 4:03,,,,,,,,,
LP-V629IE46K90-70,V629IE46K90,LOG-70,8/5/2024 4:05,Pajak Mobil,1,Jumlah uang: 2606868,4,8/5/2025 4:05,,,,,,,,,
LP-NU9QMRMOKTC-175,NU9QMRMOKTC,LOG-175,8/5/2024 4:12,Transfer ke Bank Permata (Non BI-Fast),1,Jumlah uang: 515869,6,8/5/2025 4:12,,,,,,,,,
LP-8TB51RBIF7X-154,8TB51RBIF7X,LOG-154,8/5/2024 4:14,Top Up OVO,1,Jumlah uang: 88983,4,8/5/2025 4:14,,,,,,,,,
LP-TDXXP45N2PU-65,TDXXP45N2PU,LOG-65,8/5/2024 4:18,Pembayaran Virtual Account PDAM,1,Jumlah uang: 661337,8,8/5/2025 4:18,,,,,,,,,
LP-A10BLCYC900-113,A10BLCYC900,LOG-113,8/5/2024 4:20,KAI,1,Jumlah uang: 155552,10,8/5/2025 4:20,,,,,,,,,
LP-5HHIFOTVV0X-130,5HHIFOTVV0X,LOG-130,8/5/2024 4:29,Pembayaran Virtual Account Bibit,1,Jumlah uang: 877737,7,8/5/2025 4:29,,,,,,,,,
LP-8TB51RBIF7X-153,8TB51RBIF7X,LOG-153,8/5/2024 4:34,Transfer ke Bank Sinarmas (BI-Fast),1,Jumlah uang: 23787,2,8/5/2025 4:34,,,,,,,,,
LP-4RXDJLB0N8J-51,4RXDJLB0N8J,LOG-51,8/5/2024 4:51,Transfer ke Bank BTPN (BI-Fast),1,Jumlah uang: 964578,7,8/5/2025 4:51,,,,,,,,,
LP-5H1TZ6CG4UM-101,5H1TZ6CG4UM,LOG-101,8/5/2024 4:54,Transfer ke Bank BCA (Non BI-Fast),1,Jumlah uang: 131931,6,8/5/2025 4:54,,,,,,,,,
LP-4RXDJLB0N8J-50,4RXDJLB0N8J,LOG-50,8/5/2024 5:04,Pembayaran Virtual Account PDAM,1,Jumlah uang: 155435,6,8/5/2025 5:04,,,,,,,,,
LP-NU9QMRMOKTC-172,NU9QMRMOKTC,LOG-172,8/5/2024 5:18,Top Up GoPay,1,Jumlah uang: 94646,2,8/5/2025 5:18,,,,,,,,,
LP-A10BLCYC900-107,A10BLCYC900,LOG-107,8/5/2024 5:30,Transfer ke Bank CIMB Niaga (BI-Fast),1,Jumlah uang: 491754,4,8/5/2025 5:30,,,,,,,,,
LP-5HHIFOTVV0X-124,5HHIFOTVV0X,LOG-124,8/5/2024 5:35,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 54081,1,8/5/2025 5:35,,,,,,,,,
LP-8TB51RBIF7X-156,8TB51RBIF7X,LOG-156,8/5/2024 5:45,MNC Vision,1,Jumlah uang: 295378,5,8/5/2025 5:45,,,,,,,,,
LP-5HHIFOTVV0X-125,5HHIFOTVV0X,LOG-125,8/5/2024 5:47,Top Up OVO,1,Jumlah uang: 57800,3,8/5/2025 5:47,,,,,,,,,
LP-XLR1G4HMN21-23,XLR1G4HMN21,LOG-23,8/5/2024 5:49,Transfer ke Bank CIMB Niaga (Non BI-Fast),1,Jumlah uang: 512851,11,8/5/2025 5:49,,,,,,,,,
LP-7O97RRUP79D-14,7O97RRUP79D,LOG-14,8/5/2024 5:59,Top Up LinkAja,1,Jumlah uang: 29396,10,8/5/2025 5:59,,,,,,,,,
LP-5H1TZ6CG4UM-98,5H1TZ6CG4UM,LOG-98,8/5/2024 6:19,Pembayaran QRIS di Circle K,1,Jumlah uang: 88140,3,8/5/2025 6:19,,,,,,,,,
LP-SUKK8F1TFQ1-45,SUKK8F1TFQ1,LOG-45,8/5/2024 6:20,Whoosh,1,Jumlah uang: 62259,12,8/5/2025 6:20,,,,,,,,,
LP-A10BLCYC900-111,A10BLCYC900,LOG-111,8/5/2024 6:49,Pembayaran Virtual Account Bibit,1,Jumlah uang: 276171,9,8/5/2025 6:49,,,,,,,,,
LP-QX2FG9YB3ZG-29,QX2FG9YB3ZG,LOG-29,8/5/2024 6:56,Pembayaran QRIS di Indomart,1,Jumlah uang: 90252,3,8/5/2025 6:56,,,,,,,,,
LP-8TB51RBIF7X-151,8TB51RBIF7X,LOG-151,8/5/2024 6:59,Pembayaran Virtual Account Bibit,1,Jumlah uang: 246674,1,8/5/2025 6:59,,,,,,,,,
LP-7O97RRUP79D-13,7O97RRUP79D,LOG-13,8/5/2024 7:17,Transfer ke Bank Sinarmas (BI-Fast),1,Jumlah uang: 638946,8,8/5/2025 7:17,,,,,,,,,
LP-V629IE46K90-67,V629IE46K90,LOG-67,8/5/2024 7:20,Top Up OVO,1,Jumlah uang: 176240,2,8/5/2025 7:20,,,,,,,,,
LP-2PNKXNUSK1V-95,2PNKXNUSK1V,LOG-95,8/5/2024 7:35,Top Up LinkAja,1,Jumlah uang: 135430,12,8/5/2025 7:35,,,,,,,,,
LP-4RXDJLB0N8J-56,4RXDJLB0N8J,LOG-56,8/5/2024 7:38,Transfer ke Bank CIMB Niaga (Non BI-Fast),1,Jumlah uang: 244520,12,8/5/2025 7:38,,,,,,,,,
LP-QX2FG9YB3ZG-31,QX2FG9YB3ZG,LOG-31,8/5/2024 7:40,PDAM,1,Jumlah uang: 130217,5,8/5/2025 7:40,,,,,,,,,
LP-2PNKXNUSK1V-93,2PNKXNUSK1V,LOG-93,8/5/2024 8:04,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 959504,8,8/5/2025 8:04,,,,,,,,,
LP-XLR1G4HMN21-17,XLR1G4HMN21,LOG-17,8/5/2024 8:08,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 518791,1,8/5/2025 8:08,,,,,,,,,
LP-QX2FG9YB3ZG-30,QX2FG9YB3ZG,LOG-30,8/5/2024 8:09,Pembayaran Virtual Account Bibit,1,Jumlah uang: 748918,4,8/5/2025 8:09,,,,,,,,,
LP-XLR1G4HMN21-24,XLR1G4HMN21,LOG-24,8/5/2024 8:26,IndiHome,1,Jumlah uang: 444541,12,8/5/2025 8:26,,,,,,,,,
LP-2PNKXNUSK1V-94,2PNKXNUSK1V,LOG-94,8/5/2024 8:28,Top Up GoPay,1,Jumlah uang: 128031,10,8/5/2025 8:28,,,,,,,,,
LP-XLR1G4HMN21-26,XLR1G4HMN21,LOG-26,8/5/2024 8:32,Top Up GoPay,1,Jumlah uang: 38276,15,8/5/2025 8:32,,,,,,,,,
LP-TDXXP45N2PU-60,TDXXP45N2PU,LOG-60,8/5/2024 8:37,Pembayaran Virtual Account PDAM,1,Jumlah uang: 538326,3,8/5/2025 8:37,,,,,,,,,
LP-V629IE46K90-75,V629IE46K90,LOG-75,8/5/2024 8:39,Top Up LinkAja,1,Jumlah uang: 197262,11,8/5/2025 8:39,,,,,,,,,
LP-0LQ9UVUQE5F-120,0LQ9UVUQE5F,LOG-120,8/5/2024 8:50,Pembayaran Virtual Account PDAM,1,Jumlah uang: 617969,7,8/5/2025 8:50,,,,,,,,,
LP-XQ6HQIGI3JX-138,XQ6HQIGI3JX,LOG-138,8/5/2024 8:59,Transfer ke Bank BCA (Non BI-Fast),1,Jumlah uang: 464535,5,8/5/2025 8:59,,,,,,,,,
LP-XLR1G4HMN21-19,XLR1G4HMN21,LOG-19,8/5/2024 9:10,Top Up ShopeePay,1,Jumlah uang: 163180,5,8/5/2025 9:10,,,,,,,,,
LP-SMI06O0GLY6-149,SMI06O0GLY6,LOG-149,8/5/2024 9:17,Pajak Motor,1,Jumlah uang: 1781152,7,8/5/2025 9:17,,,,,,,,,
LP-2PNKXNUSK1V-92,2PNKXNUSK1V,LOG-92,8/5/2024 9:17,Top Up GoPay,1,Jumlah uang: 27076,7,8/5/2025 9:17,,,,,,,,,
