Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-QX2FG9YB3ZG-33,QX2FG9YB3ZG,LOG-33,8/2/2024 0:06,Transfer ke Bank CIMB Niaga (Non BI-Fast),190,Jumlah uang: 689352,4,8/2/2025 0:06,290867,138772800,36783,Food & Beverages,0,20,8/2/2024,Transfer BI-Fast,12
LP-NU9QMRMOKTC-180,NU9QMRMOKTC,LOG-180,8/2/2024 0:22,BFI Finance,65,Jumlah uang: 7767328,1,8/2/2025 0:22,,,,Electricity,0,20,,Transfer Non BI-Fast,22
LP-TDXXP45N2PU-67,TDXXP45N2PU,LOG-67,8/2/2024 0:42,Pembayaran Virtual Account Bibit,65,Jumlah uang: 149165,9,8/2/2025 0:42,,,,Convinience Store,0,20,,QRIS,23
LP-2PNKXNUSK1V-96,2PNKXNUSK1V,LOG-96,8/2/2024 0:49,Transfer ke Bank CIMB Niaga (Non BI-Fast),190,Jumlah uang: 401278,8,8/2/2025 0:49,,,,Entertainment,0,20,,E-Wallet,40
LP-XQ6HQIGI3JX-141,XQ6HQIGI3JX,LOG-141,8/2/2024 1:01,Pembayaran Virtual Account Pendidikan,65,Jumlah uang: 412175,2,8/2/2025 1:01,,,,,,,,Buy & Pay,66
LP-XQ6HQIGI3JX-143,XQ6HQIGI3JX,LOG-143,8/2/2024 1:11,Top Up OVO,2,Jumlah uang: 104574,6,8/2/2025 1:11,,,,,,,,,
LP-QX2FG9YB3ZG-30,QX2FG9YB3ZG,LOG-30,8/2/2024 1:34,Whoosh,1,Jumlah uang: 104890,1,8/2/2025 1:34,,,,,,,,,
LP-7O97RRUP79D-14,7O97RRUP79D,LOG-14,8/2/2024 2:00,Top Up OVO,2,Jumlah uang: 192132,7,8/2/2025 2:00,,,,,,,,,
LP-XQ6HQIGI3JX-147,XQ6HQIGI3JX,LOG-147,8/2/2024 2:06,Pembayaran QRIS di Indomart,0,Jumlah uang: 18516,10,8/2/2025 2:06,,,,,,,,,
LP-FUU7IV5BU8D-8,FUU7IV5BU8D,LOG-8,8/2/2024 2:07,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 971353,9,8/2/2025 2:07,,,,,,,,,
LP-SUKK8F1TFQ1-48,SUKK8F1TFQ1,LOG-48,8/2/2024 2:09,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 476402,8,8/2/2025 2:09,,,,,,,,,
LP-5H1TZ6CG4UM-100,5H1TZ6CG4UM,LOG-100,8/2/2024 2:21,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 491104,1,8/2/2025 2:21,,,,,,,,,
LP-2PNKXNUSK1V-91,2PNKXNUSK1V,LOG-91,8/2/2024 2:41,Top Up LinkAja,2,Jumlah uang: 46458,3,8/2/2025 2:41,,,,,,,,,
LP-5HHIFOTVV0X-138,5HHIFOTVV0X,LOG-138,8/2/2024 2:46,IndiHome,1,Jumlah uang: 625501,9,8/2/2025 2:46,,,,,,,,,
LP-7O97RRUP79D-15,7O97RRUP79D,LOG-15,8/2/2024 2:47,Pembayaran QRIS di Circle K,1,Jumlah uang: 45280,8,8/2/2025 2:47,,,,,,,,,
LP-5KPJMHMXP61-174,5KPJMHMXP61,LOG-174,8/2/2024 2:57,PDAM,1,Jumlah uang: 51681,7,8/2/2025 2:57,,,,,,,,,
LP-V629IE46K90-75,V629IE46K90,LOG-75,8/2/2024 3:00,Top Up ShopeePay,0,Jumlah uang: 16992,6,8/2/2025 3:00,,,,,,,,,
LP-A10BLCYC900-112,A10BLCYC900,LOG-112,8/2/2024 3:05,Pembayaran QRIS di Indomart,1,Jumlah uang: 76222,2,8/2/2025 3:05,,,,,,,,,
LP-2PNKXNUSK1V-94,2PNKXNUSK1V,LOG-94,8/2/2024 3:20,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 714218,6,8/2/2025 3:20,,,,,,,,,
LP-0LQ9UVUQE5F-125,0LQ9UVUQE5F,LOG-125,8/2/2024 3:33,Top Up DANA,2,Jumlah uang: 146087,6,8/2/2025 3:33,,,,,,,,,
LP-5H1TZ6CG4UM-104,5H1TZ6CG4UM,LOG-104,8/2/2024 3:51,Transfer ke Bank BNI (BI-Fast),1,Jumlah uang: 183565,7,8/2/2025 3:51,,,,,,,,,
LP-XQ6HQIGI3JX-139,XQ6HQIGI3JX,LOG-139,8/2/2024 4:18,Sriwijaya Air,1,Jumlah uang: 1945214,1,8/2/2025 4:18,,,,,,,,,
LP-5KPJMHMXP61-171,5KPJMHMXP61,LOG-171,8/2/2024 4:27,Pembayaran QRIS di Tomoro Coffee,0,Jumlah uang: 16668,4,8/2/2025 4:27,,,,,,,,,
LP-4RXDJLB0N8J-57,4RXDJLB0N8J,LOG-57,8/2/2024 4:44,Transfer ke Bank BCA (Non BI-Fast),1,Jumlah uang: 657468,9,8/2/2025 4:44,,,,,,,,,
LP-8TB51RBIF7X-160,8TB51RBIF7X,LOG-160,8/2/2024 4:55,IndiHome,1,Jumlah uang: 561784,1,8/2/2025 4:55,,,,,,,,,
LP-O70ABYZUZV5-87,O70ABYZUZV5,LOG-87,8/2/2024 4:55,Top Up DANA,2,Jumlah uang: 139637,11,8/2/2025 4:55,,,,,,,,,
LP-0LQ9UVUQE5F-126,0LQ9UVUQE5F,LOG-126,8/2/2024 5:02,Transfer ke Bank Mandiri (Non BI-Fast),1,Jumlah uang: 685526,7,8/2/2025 5:02,,,,,,,,,
LP-SMI06O0GLY6-157,SMI06O0GLY6,LOG-157,8/2/2024 5:12,Pembayaran QRIS di Alfamart,1,Jumlah uang: 63037,8,8/2/2025 5:12,,,,,,,,,
LP-O70ABYZUZV5-86,O70ABYZUZV5,LOG-86,8/2/2024 5:21,Top Up ShopeePay,2,Jumlah uang: 165355,9,8/2/2025 5:21,,,,,,,,,
LP-O70ABYZUZV5-89,O70ABYZUZV5,LOG-89,8/2/2024 5:23,Top Up LinkAja,2,Jumlah uang: 35873,15,8/2/2025 5:23,,,,,,,,,
LP-XLR1G4HMN21-29,XLR1G4HMN21,LOG-29,8/2/2024 5:28,PDAM,1,Jumlah uang: 115423,10,8/2/2025 5:28,,,,,,,,,
LP-TDXXP45N2PU-62,TDXXP45N2PU,LOG-62,8/2/2024 5:30,PDAM,1,Jumlah uang: 119768,4,8/2/2025 5:30,,,,,,,,,
LP-QX2FG9YB3ZG-32,QX2FG9YB3ZG,LOG-32,8/2/2024 5:33,Telkom,1,Jumlah uang: 453058,2,8/2/2025 5:33,,,,,,,,,
LP-ELP2ZNX2BFE-194,ELP2ZNX2BFE,LOG-194,8/2/2024 5:45,Transfer ke Bank BRI (Non BI-Fast),2,Jumlah uang: 174988,1256,8/2/2025 5:45,,,,,,,,,
LP-8TB51RBIF7X-164,8TB51RBIF7X,LOG-164,8/2/2024 5:59,Indosat Ooredoo,1,Jumlah uang: 42404,5,8/2/2025 5:59,,,,,,,,,
LP-V629IE46K90-76,V629IE46K90,LOG-76,8/2/2024 6:03,Top Up LinkAja,2,Jumlah uang: 77705,8,8/2/2025 6:03,,,,,,,,,
