Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-XLR1G4HMN21-29,XLR1G4HMN21,LOG-29,8/3/2024 0:03,Pembayaran Virtual Account Bibit,1,Jumlah uang: 664158,9,8/3/2025 0:03,118660,174032600,13787,Food & Beverages,0,20,8/3/2024,Transfer BI-Fast,12
LP-QX2FG9YB3ZG-30,QX2FG9YB3ZG,LOG-30,8/3/2024 0:14,Pembayaran QRIS di Circle K,1,Jumlah uang: 33128,1,8/3/2025 0:14,,,,Electricity,0,20,,Transfer Non BI-Fast,23
LP-XQ6HQIGI3JX-143,XQ6HQIGI3JX,LOG-143,8/3/2024 0:26,Transfer ke Bank Mandiri (Non BI-Fast),1,Jumlah uang: 715611,6,8/3/2025 0:26,,,,Convinience Store,0,20,,QRIS,29
LP-4RXDJLB0N8J-52,4RXDJLB0N8J,LOG-52,8/3/2024 0:28,XL,1,Jumlah uang: 293187,6,8/3/2025 0:28,,,,Entertainment,0,20,,E-Wallet,30
LP-7O97RRUP79D-17,7O97RRUP79D,LOG-17,8/3/2024 0:31,Pembayaran QRIS di Circle K,1,Jumlah uang: 70260,7,8/3/2025 0:31,,,,,,,,Buy & Pay,62
LP-0LQ9UVUQE5F-123,0LQ9UVUQE5F,LOG-123,8/3/2024 0:54,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 49523,5,8/3/2025 0:54,,,,,,,,,
LP-TDXXP45N2PU-66,TDXXP45N2PU,LOG-66,8/3/2024 1:07,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 488526,10,8/3/2025 1:07,,,,,,,,,
LP-ELP2ZNX2BFE-186,ELP2ZNX2BFE,LOG-186,8/3/2024 1:15,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 40633,1251,8/3/2025 1:15,,,,,,,,,
LP-XQ6HQIGI3JX-145,XQ6HQIGI3JX,LOG-145,8/3/2024 1:26,MNC Vision,1,Jumlah uang: 331206,7,8/3/2025 1:26,,,,,,,,,
LP-2PNKXNUSK1V-96,2PNKXNUSK1V,LOG-96,8/3/2024 1:30,MNC Vision,1,Jumlah uang: 234827,9,8/3/2025 1:30,,,,,,,,,
LP-TDXXP45N2PU-60,TDXXP45N2PU,LOG-60,8/3/2024 1:57,BPJS,1,Jumlah uang: 71894,4,8/3/2025 1:57,,,,,,,,,
LP-O70ABYZUZV5-84,O70ABYZUZV5,LOG-84,8/3/2024 2:23,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 292089,10,8/3/2025 2:23,,,,,,,,,
LP-TDXXP45N2PU-63,TDXXP45N2PU,LOG-63,8/3/2024 2:51,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 520076,7,8/3/2025 2:51,,,,,,,,,
LP-SUKK8F1TFQ1-40,SUKK8F1TFQ1,LOG-40,8/3/2024 2:51,Top Up OVO,2,Jumlah uang: 86188,2,8/3/2025 2:51,,,,,,,,,
LP-7O97RRUP79D-12,7O97RRUP79D,LOG-12,8/3/2024 2:52,Transfer ke Bank BTPN (BI-Fast),1,Jumlah uang: 323553,3,8/3/2025 2:52,,,,,,,,,
LP-0LQ9UVUQE5F-126,0LQ9UVUQE5F,LOG-126,8/3/2024 2:57,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 966594,7,8/3/2025 2:57,,,,,,,,,
LP-XQ6HQIGI3JX-137,XQ6HQIGI3JX,LOG-137,8/3/2024 3:05,Top Up LinkAja,2,Jumlah uang: 185872,2,8/3/2025 3:05,,,,,,,,,
LP-FUU7IV5BU8D-2,FUU7IV5BU8D,LOG-2,8/3/2024 3:05,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 795225,3,8/3/2025 3:05,,,,,,,,,
LP-5HHIFOTVV0X-132,5HHIFOTVV0X,LOG-132,8/3/2024 3:09,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 257324,6,8/3/2025 3:09,,,,,,,,,
LP-4RXDJLB0N8J-54,4RXDJLB0N8J,LOG-54,8/3/2024 3:27,Transfer ke Bank BRI (Non BI-Fast),2,Jumlah uang: 235292,8,8/3/2025 3:27,,,,,,,,,
LP-5H1TZ6CG4UM-98,5H1TZ6CG4UM,LOG-98,8/3/2024 3:33,PDAM,1,Jumlah uang: 124719,1,8/3/2025 3:33,,,,,,,,,
LP-SMI06O0GLY6-150,SMI06O0GLY6,LOG-150,8/3/2024 3:35,Top Up DANA,2,Jumlah uang: 35209,5,8/3/2025 3:35,,,,,,,,,
LP-8TB51RBIF7X-165,8TB51RBIF7X,LOG-165,8/3/2024 3:43,Telkom,1,Jumlah uang: 165692,7,8/3/2025 3:43,,,,,,,,,
LP-XLR1G4HMN21-22,XLR1G4HMN21,LOG-22,8/3/2024 3:51,Garuda Indonesia,1,Jumlah uang: 1896165,2,8/3/2025 3:51,,,,,,,,,
LP-5KPJMHMXP61-170,5KPJMHMXP61,LOG-170,8/3/2024 3:55,Pajak Mobil,1,Jumlah uang: 4349913,4,8/3/2025 3:55,,,,,,,,,
LP-QX2FG9YB3ZG-39,QX2FG9YB3ZG,LOG-39,8/3/2024 4:03,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 70577,8,8/3/2025 4:03,,,,,,,,,
LP-ELP2ZNX2BFE-185-R1,ELP2ZNX2BFE,LOG-185-R1,8/3/2024 4:06,Nasabah Baru,1250,"Nasabah Baru, Saldo Awal Diatas 100,000 and Melakukan Aktivasi DIGI",1250,8/3/2025 4:06,,,,,,,,,
LP-ELP2ZNX2BFE-185,ELP2ZNX2BFE,LOG-185,8/3/2024 4:06,Three,1250,Jumlah uang: 11795,1250,8/3/2025 4:06,,,,,,,,,
LP-7O97RRUP79D-11,7O97RRUP79D,LOG-11,8/3/2024 4:20,Transfer ke Bank BNI (BI-Fast),1,Jumlah uang: 422919,2,8/3/2025 4:20,,,,,,,,,
LP-TDXXP45N2PU-59,TDXXP45N2PU,LOG-59,8/3/2024 4:21,Transfer ke Bank CIMB Niaga (Non BI-Fast),2,Jumlah uang: 250256,3,8/3/2025 4:21,,,,,,,,,
LP-A10BLCYC900-110,A10BLCYC900,LOG-110,8/3/2024 4:28,Pembayaran QRIS di Wheels Coffee Roaster,0,Jumlah uang: 14348,2,8/3/2025 4:28,,,,,,,,,
