Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-4RXDJLB0N8J-56,4RXDJLB0N8J,LOG-56,8/8/2024 0:14,Top Up ShopeePay,2,Jumlah uang: 105440,8,8/8/2025 0:14,154437,225953035,21465,Food & Beverages,0,20,8/8/2024,Transfer BI-Fast,14
LP-TDXXP45N2PU-63,TDXXP45N2PU,LOG-63,8/8/2024 0:21,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 34074,4,8/8/2025 0:21,,,,Electricity,0,20,,Transfer Non BI-Fast,18
LP-A10BLCYC900-109,A10BLCYC900,LOG-109,8/8/2024 0:28,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 259727,1,8/8/2025 0:28,,,,Convinience Store,0,20,,QRIS,28
LP-8TB51RBIF7X-155,8TB51RBIF7X,LOG-155,8/8/2024 0:36,Pembayaran Virtual Account Bibit,1,Jumlah uang: 852333,4,8/8/2025 0:36,,,,Entertainment,0,20,,E-Wallet,29
LP-5H1TZ6CG4UM-106,5H1TZ6CG4UM,LOG-106,8/8/2024 0:47,Pembayaran QRIS di Indomart,1,Jumlah uang: 80800,8,8/8/2025 0:47,,,,,,,,Buy & Pay,55
LP-SUKK8F1TFQ1-43,SUKK8F1TFQ1,LOG-43,8/8/2024 0:51,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 832989,6,8/8/2025 0:51,,,,,,,,,
LP-FUU7IV5BU8D-0,FUU7IV5BU8D,LOG-0,8/8/2024 0:57,IndiHome,1,Jumlah uang: 766597,1,8/8/2025 0:57,,,,,,,,,
LP-SMI06O0GLY6-146,SMI06O0GLY6,LOG-146,8/8/2024 1:04,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 63783,8,8/8/2025 1:04,,,,,,,,,
LP-XLR1G4HMN21-22,XLR1G4HMN21,LOG-22,8/8/2024 1:35,Pembayaran Virtual Account Bibit,1,Jumlah uang: 365468,4,8/8/2025 1:35,,,,,,,,,
LP-7O97RRUP79D-14,7O97RRUP79D,LOG-14,8/8/2024 1:43,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 970737,7,8/8/2025 1:43,,,,,,,,,
LP-5HHIFOTVV0X-135,5HHIFOTVV0X,LOG-135,8/8/2024 1:49,Transfer ke Bank CIMB Niaga (BI-Fast),2,Jumlah uang: 502659,11,8/8/2025 1:49,,,,,,,,,
LP-A10BLCYC900-110,A10BLCYC900,LOG-110,8/8/2024 2:00,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 64993,2,8/8/2025 2:00,,,,,,,,,
LP-5KPJMHMXP61-160,5KPJMHMXP61,LOG-160,8/8/2024 2:21,Pajak Motor,1,Jumlah uang: 3511369,1,8/8/2025 2:21,,,,,,,,,
LP-2PNKXNUSK1V-97,2PNKXNUSK1V,LOG-97,8/8/2024 2:26,Transfer ke Bank BTPN (Non BI-Fast),1,Jumlah uang: 806017,9,8/8/2025 2:26,,,,,,,,,
LP-8TB51RBIF7X-150,8TB51RBIF7X,LOG-150,8/8/2024 2:28,Pembayaran Virtual Account PDAM,1,Jumlah uang: 715093,1,8/8/2025 2:28,,,,,,,,,
LP-2PNKXNUSK1V-94,2PNKXNUSK1V,LOG-94,8/8/2024 2:34,Transfer ke Bank Mandiri (BI-Fast),1,Jumlah uang: 676490,6,8/8/2025 2:34,,,,,,,,,
