Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-NU9QMRMOKTC-168,NU9QMRMOKTC,LOG-168,8/6/2024 0:02,Top Up ShopeePay,2,Jumlah uang: 77270,7,8/6/2025 0:02,149445,117411792,15795,Food & Beverages,0,20,8/6/2024,Transfer BI-Fast,13
LP-TDXXP45N2PU-59,TDXXP45N2PU,LOG-59,8/6/2024 0:04,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 42199,2,8/6/2025 0:04,,,,Electricity,0,20,,Transfer Non BI-Fast,24
LP-5H1TZ6CG4UM-98,5H1TZ6CG4UM,LOG-98,8/6/2024 0:16,Three,1,Jumlah uang: 127272,11,8/6/2025 0:16,,,,Convinience Store,0,20,,QRIS,33
LP-SUKK8F1TFQ1-42,SUKK8F1TFQ1,LOG-42,8/6/2024 0:21,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 89838,4,8/6/2025 0:21,,,,Entertainment,0,20,,E-Wallet,25
LP-NU9QMRMOKTC-165,NU9QMRMOKTC,LOG-165,8/6/2024 0:21,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 70324,3,8/6/2025 0:21,,,,,,,,Buy & Pay,57
LP-FUU7IV5BU8D-2,FUU7IV5BU8D,LOG-2,8/6/2024 0:24,Transfer ke Bank OCBC (Non BI-Fast),1,Jumlah uang: 551837,3,8/6/2025 0:24,,,,,,,,,
LP-4RXDJLB0N8J-49,4RXDJLB0N8J,LOG-49,8/6/2024 0:36,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 336435,2,8/6/2025 0:36,,,,,,,,,
LP-NU9QMRMOKTC-170,NU9QMRMOKTC,LOG-170,8/6/2024 0:38,Telkom,1,Jumlah uang: 276348,9,8/6/2025 0:38,,,,,,,,,
LP-SUKK8F1TFQ1-43,SUKK8F1TFQ1,LOG-43,8/6/2024 0:43,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 304273,5,8/6/2025 0:43,,,,,,,,,
LP-5H1TZ6CG4UM-97,5H1TZ6CG4UM,LOG-97,8/6/2024 0:45,PDAM,1,Jumlah uang: 102475,10,8/6/2025 0:45,,,,,,,,,
