Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-TDXXP45N2PU-69,TDXXP45N2PU,LOG-69,8/4/2024 0:01,Pembayaran Virtual Account PDAM,65,Jumlah uang: 220443,10,8/4/2025 0:01,124487,131021838,11113,Food & Beverages,0,20,8/4/2024,Transfer BI-Fast,11
LP-XLR1G4HMN21-25,XLR1G4HMN21,LOG-25,8/4/2024 0:14,Pembayaran Virtual Account Internet Rumah,65,Jumlah uang: 650685,6,8/4/2025 0:14,,,,Electricity,0,20,,Transfer Non BI-Fast,16
LP-2PNKXNUSK1V-94,2PNKXNUSK1V,LOG-94,8/4/2024 0:30,Transfer ke Bank Danamon (BI-Fast),125,Jumlah uang: 569224,8,8/4/2025 0:30,,,,Convinience Store,0,20,,QRIS,30
LP-O70ABYZUZV5-84,O70ABYZUZV5,LOG-84,8/4/2024 1:00,Pembayaran QRIS di Tomoro Coffee,5,Jumlah uang: 38266,7,8/4/2025 1:00,,,,Entertainment,0,20,,E-Wallet,31
LP-V629IE46K90-77,V629IE46K90,LOG-77,8/4/2024 1:18,Pembayaran Virtual Account Pendidikan,65,Jumlah uang: 169291,9,8/4/2025 1:18,,,,,,,,Buy & Pay,62
LP-V629IE46K90-71,V629IE46K90,LOG-71,8/4/2024 1:21,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 800480,2,8/4/2025 1:21,,,,,,,,,
LP-4RXDJLB0N8J-59,4RXDJLB0N8J,LOG-59,8/4/2024 1:25,Pembayaran Virtual Account Bibit,1,Jumlah uang: 661034,11,8/4/2025 1:25,,,,,,,,,
LP-TDXXP45N2PU-66,TDXXP45N2PU,LOG-66,8/4/2024 1:29,Pembayaran Virtual Account Bibit,1,Jumlah uang: 859204,8,8/4/2025 1:29,,,,,,,,,
LP-NU9QMRMOKTC-176,NU9QMRMOKTC,LOG-176,8/4/2024 1:37,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 86661,2,8/4/2025 1:37,,,,,,,,,
LP-O70ABYZUZV5-85,O70ABYZUZV5,LOG-85,8/4/2024 1:55,Pajak Motor,1,Jumlah uang: 5227332,8,8/4/2025 1:55,,,,,,,,,
LP-SUKK8F1TFQ1-44,SUKK8F1TFQ1,LOG-44,8/4/2024 1:59,Transfer ke Bank BRI (BI-Fast),2,Jumlah uang: 829195,5,8/4/2025 1:59,,,,,,,,,
LP-4RXDJLB0N8J-54,4RXDJLB0N8J,LOG-54,8/4/2024 1:59,Top Up GoPay,2,Jumlah uang: 27368,6,8/4/2025 1:59,,,,,,,,,
LP-QX2FG9YB3ZG-35,QX2FG9YB3ZG,LOG-35,8/4/2024 2:04,IndiHome,1,Jumlah uang: 580170,3,8/4/2025 2:04,,,,,,,,,
LP-SUKK8F1TFQ1-42,SUKK8F1TFQ1,LOG-42,8/4/2024 2:07,Transfer ke Bank BSI (BI-Fast),1,Jumlah uang: 224649,3,8/4/2025 2:07,,,,,,,,,
LP-5H1TZ6CG4UM-99,5H1TZ6CG4UM,LOG-99,8/4/2024 2:08,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 915327,2,8/4/2025 2:08,,,,,,,,,
LP-QX2FG9YB3ZG-37,QX2FG9YB3ZG,LOG-37,8/4/2024 2:09,BRI,1,Jumlah uang: 6082668,5,8/4/2025 2:09,,,,,,,,,
LP-0LQ9UVUQE5F-118,0LQ9UVUQE5F,LOG-118,8/4/2024 2:29,Top Up OVO,2,Jumlah uang: 91422,3,8/4/2025 2:29,,,,,,,,,
LP-2PNKXNUSK1V-89,2PNKXNUSK1V,LOG-89,8/4/2024 2:39,Transfer ke Bank CIMB Niaga (Non BI-Fast),2,Jumlah uang: 724484,3,8/4/2025 2:39,,,,,,,,,
LP-8TB51RBIF7X-158,8TB51RBIF7X,LOG-158,8/4/2024 2:46,Top Up ShopeePay,2,Jumlah uang: 154276,5,8/4/2025 2:46,,,,,,,,,
LP-SMI06O0GLY6-154,SMI06O0GLY6,LOG-154,8/4/2024 2:54,Transfer ke Bank CIMB Niaga (Non BI-Fast),2,Jumlah uang: 268532,10,8/4/2025 2:54,,,,,,,,,
LP-SMI06O0GLY6-153,SMI06O0GLY6,LOG-153,8/4/2024 2:59,Telkom,1,Jumlah uang: 191946,8,8/4/2025 2:59,,,,,,,,,
LP-SMI06O0GLY6-155,SMI06O0GLY6,LOG-155,8/4/2024 3:20,Pembayaran QRIS di Circle K,1,Jumlah uang: 69608,11,8/4/2025 3:20,,,,,,,,,
LP-XQ6HQIGI3JX-146,XQ6HQIGI3JX,LOG-146,8/4/2024 3:36,MNC Vision,1,Jumlah uang: 383231,13,8/4/2025 3:36,,,,,,,,,
LP-O70ABYZUZV5-82,O70ABYZUZV5,LOG-82,8/4/2024 3:53,Transfer ke Bank BSI (BI-Fast),1,Jumlah uang: 103292,4,8/4/2025 3:53,,,,,,,,,
